id;nom;prenom;email;id-2;user_id;machine_id;amount
1;rhtrth;erwerwe;NULL;124;1;34;0
1;rhtrth;erwerwe;NULL;184;1;41;0
1;rhtrth;erwerwe;NULL;167;1;39;0
1;rhtrth;erwerwe;NULL;457;1;60;4
1;rhtrth;erwerwe;NULL;487;1;63;40
1;rhtrth;erwerwe;NULL;477;1;62;4
1;rhtrth;erwerwe;NULL;229;1;45;20
1;rhtrth;erwerwe;NULL;290;1;51;22
1;rhtrth;erwerwe;NULL;48;1;25;0
1;rhtrth;erwerwe;NULL;424;1;56;22
1;rhtrth;erwerwe;NULL;300;1;52;22
1;rhtrth;erwerwe;NULL;320;1;54;22
1;rhtrth;erwerwe;NULL;260;1;48;22
1;rhtrth;erwerwe;NULL;280;1;50;22
1;rhtrth;erwerwe;NULL;201;1;43;0
1;rhtrth;erwerwe;NULL;158;1;38;0
1;rhtrth;erwerwe;NULL;467;1;61;40
1;rhtrth;erwerwe;NULL;444;1;58;22
1;rhtrth;erwerwe;NULL;454;1;59;22
1;rhtrth;erwerwe;NULL;240;1;46;22
1;rhtrth;erwerwe;NULL;46;1;23;10
1;rhtrth;erwerwe;NULL;90;1;30;0
1;rhtrth;erwerwe;NULL;57;1;26;0
1;rhtrth;erwerwe;NULL;250;1;47;22
1;rhtrth;erwerwe;NULL;497;1;64;4
1;rhtrth;erwerwe;NULL;507;1;65;40
1;rhtrth;erwerwe;NULL;434;1;57;22
1;rhtrth;erwerwe;NULL;270;1;49;22
1;rhtrth;erwerwe;NULL;141;1;36;0
1;rhtrth;erwerwe;NULL;220;1;44;0
1;rhtrth;erwerwe;NULL;99;1;31;0
1;rhtrth;erwerwe;NULL;310;1;53;22
4;njytj;qwrqr;NULL;125;4;34;25
4;njytj;qwrqr;NULL;458;4;60;5
4;njytj;qwrqr;NULL;66;4;27;25
4;njytj;qwrqr;NULL;202;4;43;25
4;njytj;qwrqr;NULL;291;4;52;25
4;njytj;qwrqr;NULL;176;4;40;25
4;njytj;qwrqr;NULL;445;4;59;25
4;njytj;qwrqr;NULL;435;4;58;25
4;njytj;qwrqr;NULL;82;4;29;25
4;njytj;qwrqr;NULL;241;4;47;25
4;njytj;qwrqr;NULL;301;4;53;25
4;njytj;qwrqr;NULL;508;4;65;45
4;njytj;qwrqr;NULL;251;4;48;25
4;njytj;qwrqr;NULL;91;4;30;25
4;njytj;qwrqr;NULL;168;4;39;25
4;njytj;qwrqr;NULL;425;4;57;25
4;njytj;qwrqr;NULL;231;4;46;25
4;njytj;qwrqr;NULL;100;4;31;25
4;njytj;qwrqr;NULL;415;4;56;25
4;njytj;qwrqr;NULL;108;4;32;25
4;njytj;qwrqr;NULL;210;4;44;25
4;njytj;qwrqr;NULL;29;4;20;50
4;njytj;qwrqr;NULL;498;4;64;5
4;njytj;qwrqr;NULL;411;4;55;0.080620155
4;njytj;qwrqr;NULL;133;4;35;25
4;njytj;qwrqr;NULL;159;4;38;25
4;njytj;qwrqr;NULL;116;4;33;25
4;njytj;qwrqr;NULL;396;4;11;50
4;njytj;qwrqr;NULL;37;4;22;25
4;njytj;qwrqr;NULL;364;4;2;50
4;njytj;qwrqr;NULL;389;4;9;50
4;njytj;qwrqr;NULL;370;4;3;50
4;njytj;qwrqr;NULL;150;4;37;25
4;njytj;qwrqr;NULL;375;4;4;50
4;njytj;qwrqr;NULL;382;4;6;50
4;njytj;qwrqr;NULL;271;4;50;25
4;njytj;qwrqr;NULL;142;4;36;25
4;njytj;qwrqr;NULL;311;4;54;25
4;njytj;qwrqr;NULL;478;4;62;5
4;njytj;qwrqr;NULL;261;4;49;25
4;njytj;qwrqr;NULL;49;4;25;25
4;njytj;qwrqr;NULL;488;4;63;45
4;njytj;qwrqr;NULL;193;4;42;25
4;njytj;qwrqr;NULL;281;4;51;25
4;njytj;qwrqr;NULL;468;4;61;45
4;njytj;qwrqr;NULL;221;4;45;25
